km	kg/m3	Pa	K	kg/mol
410.0000000000000000000	0.0000000000024792000	0.0000012903800000000	996.3080000000000000000	0.0158340000000000000
420.0000000000000000000	0.0000000000021554000	0.0000011289500000000	996.7860000000000000000	0.0156880000000000000
430.0000000000000000000	0.0000000000018316000	0.0000009675280000000	997.2640000000000000000	0.0155420000000000000
440.0000000000000000000	0.0000000000015078000	0.0000008061040000000	997.7420000000000000000	0.0153960000000000000
450.0000000000000000000	0.0000000000011840000	0.0000006446800000000	998.2200000000000000000	0.0152500000000000000
460.0000000000000000000	0.0000000000010515000	0.0000005762160000000	998.4240000000000000000	0.0150660000000000000
470.0000000000000000000	0.0000000000009190000	0.0000005077520000000	998.6280000000000000000	0.0148820000000000000
480.0000000000000000000	0.0000000000007865000	0.0000004392880000000	998.8320000000000000000	0.0146980000000000000
490.0000000000000000000	0.0000000000006540000	0.0000003708240000000	999.0360000000000000000	0.0145140000000000000
500.0000000000000000000	0.0000000000005215000	0.0000003023600000000	999.2400000000000000000	0.0143300000000000000
510.0000000000000000000	0.0000000000004648800	0.0000002721620000000	999.3260000000000000000	0.0140820000000000000
520.0000000000000000000	0.0000000000004082600	0.0000002419640000000	999.4120000000000000000	0.0138340000000000000
530.0000000000000000000	0.0000000000003516400	0.0000002117660000000	999.4980000000000000000	0.0135860000000000000
540.0000000000000000000	0.0000000000002950200	0.0000001815680000000	999.5840000000000000000	0.0133380000000000000
550.0000000000000000000	0.0000000000002384000	0.0000001513700000000	999.6700000000000000000	0.0130900000000000000
560.0000000000000000000	0.0000000000002134600	0.0000001375220000000	999.7060000000000000000	0.0127740000000000000
570.0000000000000000000	0.0000000000001885200	0.0000001236740000000	999.7420000000000000000	0.0124580000000000000
580.0000000000000000000	0.0000000000001635800	0.0000001098260000000	999.7780000000000000000	0.0121420000000000000
590.0000000000000000000	0.0000000000001386400	0.0000000959780000000	999.8140000000000000000	0.0118260000000000000
600.0000000000000000000	0.0000000000001137000	0.0000000821300000000	999.8500000000000000000	0.0115100000000000000
610.0000000000000000000	0.0000000000001023840	0.0000000754770000000	999.8660000000000000000	0.0111520000000000000
620.0000000000000000000	0.0000000000000910680	0.0000000688240000000	999.8820000000000000000	0.0107940000000000000
630.0000000000000000000	0.0000000000000797520	0.0000000621710000000	999.8980000000000000000	0.0104360000000000000
